날짜,순위,곡제목,아티스트
20240312,1,첫 만남은 계획대로 되지 않아,TWS (투어스)
20240312,2,밤양갱,비비(BIBI)
20240312,3,나는 아픈 건 딱 질색이니까,i-dle (아이들)
20240312,4,EASY,LE SSERAFIM (르세라핌)
20240312,5,홀씨,아이유(IU)
20240312,6,Love wins all,아이유(IU)
20240312,7,Smart,LE SSERAFIM (르세라핌)
20240312,8,To. X,태연 (TAEYEON)
20240312,9,Shopper,아이유(IU)
20240312,10,"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",그루비룸 (GroovyRoom)
20240312,11,Love 119,RIIZE
20240312,12,Wish You Hell,웬디(WENDY)
20240312,13,Perfect Night,LE SSERAFIM (르세라핌)
20240312,14,관객이 될게 (I stan U),아이유(IU)
20240312,15,Wife,i-dle (아이들)
20240312,16,MANIAC,VIVIZ (비비지)
20240312,17,비의 랩소디,임재현
20240312,18,Get A Guitar,RIIZE
20240312,19,Drama,aespa
20240312,20,한 페이지가 될 수 있게,DAY6 (데이식스)
20240312,21,천상연,이창섭
20240312,22,에피소드,이무진
20240312,23,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
20240312,24,Swan Song,LE SSERAFIM (르세라핌)
20240312,25,Super Lady,i-dle (아이들)
20240312,26,I AM,IVE (아이브)
20240312,27,헤어지자 말해요,박재정
20240312,28,꿈,태연 (TAEYEON)
20240312,29,DASH,NMIXX
20240312,30,인사,범진
20240312,31,Hype Boy,NewJeans
20240312,32,Ditto,NewJeans
20240312,33,BODY,하이라이트 (HIGHLIGHT)
20240312,34,ETA,NewJeans
20240312,35,You & Me,제니 (JENNIE)
20240312,36,예뻤어,DAY6 (데이식스)
20240312,37,Seven (feat. Latto) - Clean Ver.,정국
20240312,38,Love Lee,AKMU(악뮤)
20240312,39,Super Shy,NewJeans
20240312,40,너의 모든 순간,성시경
20240312,41,Baddie,IVE (아이브)
20240312,42,Steal The Show (From “엘리멘탈”),Lauv(라우브)
20240312,43,후라이의 꿈,AKMU(악뮤)
20240312,44,Discord,QWER
20240312,45,숲,최유리
20240312,46,"묘해, 너와",태일 (TAEIL)
20240312,47,Spicy,aespa
20240312,48,Attention,NewJeans
20240312,49,"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)",아이유(IU)
20240312,50,Kitsch,IVE (아이브)
20240312,51,Standing Next to You,정국
20240312,52,사건의 지평선,윤하(Younha/ユンナ)
20240312,53,After LIKE,IVE (아이브)
20240312,54,Talk Saxy,RIIZE
20240312,55,Off The Record,IVE (아이브)
20240312,56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
20240312,57,퀸카 (Queencard),i-dle (아이들)
20240312,58,봄이 와도,로이킴
20240312,59,LOVE DIVE,IVE (아이브)
20240312,60,그대가 내 안에 박혔다,황치열
20240312,61,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
20240312,62,Dangerously,Charlie Puth(찰리 푸스)
20240312,63,New Jeans,NewJeans
20240312,64,사랑인가 봐,멜로망스(MeloMance)
20240312,65,OMG,NewJeans
20240312,66,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
20240312,67,잠시라도 우리,성시경
20240312,68,별 떨어진다 (I Do),도경수(D.O.)
20240312,69,GODS,NewJeans
20240312,70,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
20240312,71,사랑은 늘 도망가,임영웅
20240312,72,손오공,세븐틴(SEVENTEEN)
20240312,73,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
20240312,74,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
20240312,75,어른,Sondia
20240312,76,주저하는 연인들을 위해,잔나비
20240312,77,STAY,The Kid LAROI
20240312,78,Chill Kill,Red Velvet (레드벨벳)
20240312,79,심(心),DK(디셈버)
20240312,80,Off My Face,Justin Bieber(저스틴 비버)
20240312,81,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
20240312,82,다정히 내 이름을 부르면,경서예지
20240312,83,Obsessed,Ayumu Imazu
20240312,84,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
20240312,85,사랑할 수밖에,볼빨간사춘기
20240312,86,When I Get Old,Christopher(크리스토퍼)
20240312,87,음악의 신,세븐틴(SEVENTEEN)
20240312,88,Underwater,권은비
20240312,89,EENIE MEENIE (Feat. 홍중(ATEEZ)),청하
20240312,90,Fast Forward,전소미
20240312,91,Bubble,STAYC(스테이씨)
20240312,92,ANTIFRAGILE,LE SSERAFIM (르세라핌)
20240312,93,Either Way,IVE (아이브)
20240312,94,달빛에 그려지는,미연 (MIYEON)
20240312,95,LIGHTHOUSE,TEMPEST(템페스트)
20240312,96,사막에서 꽃을 피우듯,우디(Woody)
20240312,97,"그대가 있는 곳, 언제 어디든",로이킴
20240312,98,His Car Isn’t Yours,웬디(WENDY)
20240312,99,운이 좋았지,권진아
20240312,100,취중고백,김민석
