BASE_YM,MENU_CODE,MENU_NM,NTT_CNT,NTT_PER_AVRG_MENTN_CNT
202312,CNVNC_M02001,간장·마늘치킨,1669817,0.0017
202312,KOREA_M01001,간장·양념게장,1669817,0.0258
202312,KOREA_M01002,갈비찜·뼈찜,1669817,0.0071
202312,KOREA_M02001,갈비탕,1669817,0.0124
202312,KOREA_M02002,감자탕,1669817,0.0104
202312,CNVNC_M01001,감자튀김·사이드메뉴,1669817,0.0237
202312,BARFD_M01001,견과류,1669817,0.0000
202312,KOREA_M01003,계란찜·계란말이,1669817,0.0502
202312,CNVNC_M01002,고로케·소시지빵·피자빵,1669817,0.0058
202312,KOREA_M06001,고추장찌개·돼지찌개,1669817,0.0426
202312,BARFD_M01002,골뱅이,1669817,0.0048
202312,KOREA_M01004,곰장어 요리,1669817,0.0024
202312,KOREA_M05001,곱창·막창·내장부위,1669817,0.0546
202312,KOREA_M01005,공기밥·돌솥밥,1669817,0.0059
202312,BARFD_M01003,과일안주,1669817,0.0007
202312,KOREA_M02003,국·탕,1669817,0.0222
202312,KOREA_M02004,국밥,1669817,0.0090
202312,KOREA_M03001,국수·칼국수·수제비,1669817,0.1073
202312,KOREA_M01006,굴요리,1669817,0.0096
202312,FORGN_M01001,그라탕,1669817,0.0015
202312,KOREA_M05002,기타동물,1669817,0.0003
202312,CNVNC_M02002,기타시즈닝치킨,1669817,0.0500
202312,SNACK_M01001,김밥·주먹밥,1669817,0.0240
202312,KOREA_M06002,김치찌개·참치찌개,1669817,0.0309
202312,SPECL_M01001,나베·전골,1669817,0.0546
202312,KOREA_M01008,낙지·오징어·쭈꾸미 요리,1669817,0.0849
202312,KOREA_M05003,닭갈비,1669817,0.0232
202312,CNVNC_M01003,닭강정,1669817,0.0060
202312,KOREA_M05004,닭똥집·모래집,1669817,0.0018
202312,KOREA_M05005,닭발,1669817,0.0136
202312,KOREA_M05006,닭볶음탕,1669817,0.0148
202312,SPECL_M01002,덮밥,1669817,0.0399
202312,CNVNC_M01004,도넛·꽈배기,1669817,0.0119
202312,SPECL_M01003,도시락,1669817,0.0022
202312,SPECL_M01004,돈가스,1669817,0.0480
202312,FORGN_M01003,돈부리,1669817,0.0177
202312,FORGN_M01004,동남아음식,1669817,0.0055
202312,KOREA_M05007,돼지갈비·주물럭·양념고기,1669817,0.0344
202312,KOREA_M05008,돼지고기 구이,1669817,0.1665
202312,KOREA_M06003,된장찌개·청국장,1669817,0.0644
202312,SPECL_M01005,두부요리,1669817,0.0211
202312,CNVNC_M01005,떡·모찌,1669817,0.0470
202312,SNACK_M01002,떡볶이,1669817,0.0404
202312,DRINK_M01001,라떼류음료,1669817,0.0728
202312,DRINK_M01002,라떼류커피,1669817,0.0246
202312,SNACK_M01003,라면,1669817,0.0655
202312,FORGN_M01006,리소토·필라프,1669817,0.0241
202312,FORGN_M01007,마라탕,1669817,0.0154
202312,CNVNC_M01006,마카롱·와플·파이·타르트·카페디저트,1669817,0.0443
202312,ALCHL_M01003,막걸리,1669817,0.0203
202312,CNVNC_M01007,만두,1669817,0.0415
202312,KOREA_M02005,매운탕·해물탕,1669817,0.0228
202312,ALCHL_M01004,맥주,1669817,0.0101
202312,CNVNC_M01008,머핀·카스텔라,1669817,0.0059
202312,FORGN_M01008,멕시칸음식,1669817,0.0027
202312,SPECL_M01006,면류,1669817,0.0036
202312,KOREA_M03002,물냉면,1669817,0.0317
202312,KOREA_M01009,민물고기 요리,1669817,0.0018
202312,KOREA_M01010,민물장어 요리,1669817,0.0053
202312,SPECL_M01007,바닷가재·게요리,1669817,0.0397
202312,CNVNC_M02003,반반치킨,1669817,0.0005
202312,KOREA_M04001,백반,1669817,0.0105
202312,KOREA_M05009,백숙·토종닭,1669817,0.0038
202312,SPECL_M01010,버섯요리,1669817,0.0018
202312,BARFD_M01004,번데기,1669817,0.0025
202312,CNVNC_M01009,베이글·식사용빵,1669817,0.0118
202312,CNVNC_M02004,베이크류치킨,1669817,0.0008
202312,KOREA_M05010,보쌈,1669817,0.0209
202312,KOREA_M01011,복어요리,1669817,0.0015
202312,SPECL_M01011,볶음밥,1669817,0.0692
202312,KOREA_M06004,부대찌개,1669817,0.0074
202312,KOREA_M05011,불닭,1669817,0.0081
202312,BUFFT_M01001,뷔페·식권,1669817,0.0140
202312,KOREA_M03003,비빔냉면,1669817,0.0130
202312,KOREA_M01012,비빔밥,1669817,0.0341
202312,CNVNC_M01010,빙수,1669817,0.0087
202312,FORGN_M01009,사시미,1669817,0.0209
202312,KOREA_M02006,사철탕·보신탕,1669817,0.0001
202312,ALCHL_M01005,사케,1669817,0.0248
202312,KOREA_M05012,삼계탕,1669817,0.0054
202312,KOREA_M01013,새우구이,1669817,0.0261
202312,CNVNC_M01011,샌드위치,1669817,0.0242
202312,FORGN_M01010,샐러드,1669817,0.0681
202312,KOREA_M01014,생선구이,1669817,0.0194
202312,KOREA_M06005,생선찌개,1669817,0.0007
202312,KOREA_M01015,생선찜·해물찜,1669817,0.0052
202312,SPECL_M01012,샤브샤브,1669817,0.0248
202312,KOREA_M02007,설렁탕·곰탕,1669817,0.0165
202312,KOREA_M05013,소고기구이,1669817,0.0676
202312,FORGN_M01011,소바,1669817,0.0238
202312,CNVNC_M01012,소보로·슈크림·브라우니·달콤한빵·과자류,1669817,0.0670
202312,BARFD_M01005,소시지,1669817,0.0107
202312,KOREA_M05014,수육,1669817,0.0265
202312,SNACK_M01004,순대,1669817,0.0229
202312,KOREA_M02008,순대국,1669817,0.0085
202312,KOREA_M06006,순두부찌개,1669817,0.0135
202312,DRINK_M01004,쉐이크·스무디·요거트,1669817,0.0006
202312,FORGN_M01012,스시,1669817,0.0713
202312,FORGN_M01013,스테이크,1669817,0.0583
202312,FORGN_M01014,스튜,1669817,0.0037
202312,FORGN_M01015,스프,1669817,0.0176
202312,CNVNC_M01013,식빵·바게트,1669817,0.0098
202312,FORGN_M01016,쌀국수,1669817,0.0222
202312,KOREA_M01016,쌈밥,1669817,0.0095
202312,KOREA_M01017,아구·아귀요리,1669817,0.0098
202312,DRINK_M01005,아메리카노,1669817,0.0014
202312,CNVNC_M01014,아이스크림,1669817,0.0433
202312,CNVNC_M01015,약과·한과,1669817,0.0008
202312,SPECL_M01013,양고기요리,1669817,0.0081
202312,CNVNC_M02005,양념치킨,1669817,0.0032
202312,KOREA_M01018,어죽,1669817,0.0007
202312,DRINK_M01006,에스프레소·드립커피·냉침커피,1669817,0.0105
202312,FORGN_M01017,오꼬노미야끼·타코야끼,1669817,0.0087
202312,KOREA_M05015,오리로스·주물럭·훈제,1669817,0.0065
202312,KOREA_M05016,오리탕·오리백숙,1669817,0.0045
202312,SPECL_M01014,오므라이스,1669817,0.0037
202312,BARFD_M01006,오징어·먹태·노가리류,1669817,0.0017
202312,KOREA_M05017,옻닭,1669817,0.0003
202312,ALCHL_M01008,와인,1669817,0.0053
202312,SPECL_M01015,우동,1669817,0.0460
202312,KOREA_M02009,육개장,1669817,0.0077
202312,KOREA_M05018,육회,1669817,0.0512
202312,BARFD_M01008,은행·꼬치구이,1669817,0.0109
202312,FORGN_M01018,인도음식,1669817,0.0035
202312,KOREA_M01019,전·빈대떡·부침개,1669817,0.0301
202312,DRINK_M01008,전통차·허브차·과일차,1669817,0.0012
202312,KOREA_M04002,정식,1669817,0.0180
202312,KOREA_M05019,제육볶음·두루치기·불고기,1669817,0.0531
202312,KOREA_M01020,조개구이,1669817,0.0157
202312,KOREA_M05020,족발,1669817,0.0038
202312,DRINK_M01009,주스·에이드,1669817,0.0014
202312,KOREA_M01021,죽,1669817,0.0317
202312,FORGN_M01019,중식요리,1669817,0.0350
202312,SPECL_M01016,짜장면,1669817,0.0156
202312,SPECL_M01017,짬뽕·짬뽕밥·짬뽕탕,1669817,0.0359
202312,SNACK_M01005,쫄면,1669817,0.0086
202312,KOREA_M06007,찌개,1669817,0.0034
202312,CNVNC_M01017,찐빵,1669817,0.0020
202312,KOREA_M05021,찜닭,1669817,0.0053
202312,SPECL_M01018,참치회,1669817,0.0021
202312,SPECL_M01019,채식·비건 요리,1669817,0.0049
202312,KOREA_M02010,추어탕,1669817,0.0034
202312,SPECL_M01020,치킨가스·생선가스·규가스,1669817,0.0091
202312,SPECL_M01021,카레,1669817,0.0230
202312,ALCHL_M01010,칵테일,1669817,0.0064
202312,DRINK_M01010,커피,1669817,0.0096
202312,CNVNC_M01018,케이크,1669817,0.0585
202312,CNVNC_M01019,쿠키,1669817,0.0247
202312,FORGN_M01020,타다끼,1669817,0.0030
202312,BARFD_M01009,타코와사비·고노와다,1669817,0.0026
202312,FORGN_M01021,탕수육·꿔바로우,1669817,0.0227
202312,FORGN_M01022,터키음식,1669817,0.0008
202312,CNVNC_M01020,토스트,1669817,0.0121
202312,SPECL_M01022,튀김,1669817,0.0674
202312,FORGN_M01023,파스타,1669817,0.0682
202312,CNVNC_M02006,프라이드치킨,1669817,0.0025
202312,FORGN_M01024,피자,1669817,0.0281
202312,SPECL_M01023,함박스테이크,1669817,0.0056
202312,CNVNC_M01021,핫도그,1669817,0.0057
202312,KOREA_M01022,해산물요리,1669817,0.0541
202312,KOREA_M02011,해장국,1669817,0.0198
202312,CNVNC_M01022,햄버거,1669817,0.0084
202312,KOREA_M01023,홍어 요리,1669817,0.0025
202312,DRINK_M01012,홍차·녹차·밀크티,1669817,0.0132
202312,KOREA_M01024,황태 요리,1669817,0.0088
202312,KOREA_M01025,회,1669817,0.0442
202312,KOREA_M05022,흑염소,1669817,0.0008
