식품대분류명,식품명
"곡류, 서류 제품","고구마_밤고구마_삶은것, 팝콘, 팝콘_카라멜, 감자범벅, 감자범벅"
과일류,과일_하루 한 컵 RED
구이류,"황태구이, 훈제오리, 훈제오리, 돼지불고기_간편조리세트_매콤 콩나물불고기, 돼지불고기_삼겹살_오징어"
국 및 탕류,"어탕, 연포탕, 오이냉국, 올갱이국, 전복탕"
김치류,"동치미, 배추김치, 배추김치_가을재배, 배추김치_봄재배, 배추김치_여름재배"
나물·숙채류,"미나리나물, 세발나물무침, 우거지나물무침, 취나물무침, 고구마줄기나물"
"두류, 견과 및 종실류",견과_넛츠앤푸르츠
면 및 만두류,"간자장, 간자장_해물, 국수, 국수_열무김치, 냉면_물냉면"
밥류,"오징어 덮밥_채소, 옥수수밥, 완두콩밥, 유부 초밥, 육회비빔밥"
볶음류,"주꾸미삼겹살, 해물볶음, 멸치볶음_풋고추, 미역줄기볶음, 버섯볶음_양송이버섯"
빵 및 과자류,"토스트(식빵), 트위스터 샌드위치, 파운드케이크, 햄샌드위치, 계란빵"
생채·무침류,"밴댕이무침, 부추무침_부추만, 상추 겉절이, 샐러드_간편조리세트_콥샐러드&시저드레싱, 샐러드_고구마"
수·조·어·육류,"달걀_삶은것, 달걀_삶은것_노른자, 달걀_삶은것_흰자, 대구포, 육회"
유제품류 및 빙과류,"밀크쉐이크_바닐라, 빙수_인절미_우유얼음, 빙수_팥_우유얼음, 아이스크림_썬대, 우유_딸기"
음료 및 차류,"커피_카페모카, 커피_카푸치노, 과ㆍ채주스_딸기_바나나, 과ㆍ채주스_사과_당근, 과ㆍ채주스_해독주스_착즙형"
"장류, 양념류","소스/드레싱_간편조리세트_오야꼬동 (밥제외), 카레소스_간편조리세트_키마카레&치즈키마카레, 소스/드레싱_이디야초콜릿디핑소스, 카레소스_치킨마크니 찍먹커리, 짜장소스"
장아찌·절임류,"고추장아찌, 마늘쫑장아찌, 마늘쫑장아찌_간장, 마늘쫑장아찌_고추장, 매실장아찌"
전·적 및 부침류,"생선전_동태, 소고기산적, 소라산적, 스크램블드에그, 오징어산적"
젓갈류,"게장_양념, 명란젓_양념, 조개젓_양념, 게장_간장, 양념 바지락젓"
조림류,"가자미조림, 고등어조림, 고추조림, 닭볶음탕_간편조리세트_곱도리탕, 동태조림"
죽 및 스프류,"쌀죽(흰죽)_삼광, 쌀죽(흰죽)_새일미, 쌀죽(흰죽)_신동진, 쌀죽(흰죽)_오대, 쌀죽(흰죽)_칠분도미"
찌개 및 전골류,"메기 매운탕, 청국장찌개_간편조리세트_영월식 청국장, 청국장찌개_간편조리세트_우삼겹 청국장찌개, 청국장찌개_두부_채소, 추어탕"
찜류,"해물찜_간편조리세트_낙지한마리해물찜, 해물찜_간편조리세트_백합&바지락통찜, 해물찜, 닭찜_간편조리세트_안동식 찜닭, 닭찜_안동찜닭"
"채소, 해조류",파강회
튀김류,"라조기, 멘보샤, 미꾸라지튀김, 복어튀김, 북어강정_고추장양념"
